Show,Season,Week_Number,Air_Date,Episode_Number,Episode_Type,Network_TV_Spend,Cable_TV_Spend,Digital_Spend,Impressions,True_Viewership,Revenue,Holiday,LeadIn_Bonus
Show1,1,1,2020-09-06,0,PreLaunch,4028.297704320512,12084.893112961536,10070.74426080128,43639891,117856.38004025968,82590.00571428573,0,0
Show1,1,2,2020-09-13,0,PreLaunch,4854.153125103361,14562.459375310083,12135.382812758404,52586659,129214.05588730586,88792.03285714285,0,0
Show1,1,3,2020-09-20,0,PreLaunch,5370.453364440345,16111.360093321036,13426.133411100862,58179911,171609.7573991522,121836.52142857145,0,0
Show1,1,4,2020-09-27,0,PreLaunch,7619.32169004146,22857.965070124377,19048.30422510365,82542651,178971.84301303912,124396.60428571427,0,0
Show1,1,5,2020-10-04,0,PreLaunch,7133.216268044332,21399.648804133,17833.04067011083,77276510,192167.7757859635,131526.19428571427,0,0
Show1,1,6,2020-10-11,1,Premiere,7026.084270106077,21078.252810318238,17565.210675265196,76115914,200169.2361860601,139261.50999999998,0,0
Show1,1,7,2020-10-18,2,Regular,9276.467067517018,27829.401202551056,23191.167668792543,100495060,222394.05901396187,159013.44142857144,0,0
Show1,1,8,2020-10-25,3,Regular,7524.991157167695,22574.973471503086,18812.47789291924,81520738,221726.56817481175,157093.76571428572,0,0
Show1,1,9,2020-11-01,4,Regular,8125.422045003786,24376.26613501136,20313.555112509464,88025405,224137.0867689068,156114.50142857144,0,0
Show1,1,10,2020-11-08,5,Regular,5907.181133476084,17721.54340042825,14767.95283369021,63994463,213068.3689850875,148403.7,0,0
Show1,1,11,2020-11-15,6,Regular,5840.201232374527,17520.603697123577,14600.503080936314,63268846,209257.49027239837,145807.19714285716,1,0
Show1,1,12,2020-11-22,7,Regular,6242.976266858647,18728.92880057594,15607.440667146617,67632244,203617.42003838025,146760.81428571427,0,0
Show1,1,13,2020-11-29,8,Regular,5917.114237956656,17751.342713869966,14792.78559489164,64102071,198964.80843366517,140035.28285714285,0,0
Show1,1,14,2020-12-06,9,Regular,4981.8946683379445,14945.684005013833,12454.73667084486,53970526,196346.613188256,138287.00142857144,0,0
Show1,1,15,2020-12-13,10,Finale,4236.150736119325,12708.452208357976,10590.376840298311,45891633,183393.08778629664,130264.63,0,1
Show1,2,1,2021-09-05,0,PreLaunch,12470.009534242345,4156.669844747447,10391.67461186862,47801704,126976.05709994848,89186.44571428571,0,0
Show1,2,2,2021-09-12,0,PreLaunch,12782.21701444886,4260.739004816286,10651.847512040717,48998499,106700.2460962078,74413.77428571429,0,0
Show1,2,3,2021-09-19,0,PreLaunch,15908.838499894786,5302.946166631596,13257.365416578989,60983880,146654.14877889454,102369.94857142855,0,0
Show1,2,4,2021-09-26,0,PreLaunch,18397.33951314898,6132.446504382994,15331.116260957484,70523135,162951.86563188216,113949.63,0,0
Show1,2,5,2021-10-03,0,PreLaunch,23693.83334189768,7897.944447299224,19744.86111824806,90826361,160835.99293402024,112525.32857142856,0,0
Show1,2,6,2021-10-10,1,Premiere,24381.38596826852,8127.128656089505,20317.821640223763,93461980,191708.08353973343,135590.58285714284,0,1
Show1,2,7,2021-10-17,2,Regular,21180.753886210117,7060.251295403371,17650.628238508427,81192890,199851.7260331157,140000.02285714287,0,0
Show1,2,8,2021-10-24,3,Regular,26547.644492729472,8849.214830909825,22123.03707727456,101765971,209458.30074963663,148155.38571428572,0,0
Show1,2,9,2021-10-31,4,Regular,22958.068840638596,7652.689613546197,19131.72403386549,88005930,219923.88399195965,153769.20428571428,0,0
Show1,2,10,2021-11-07,5,Regular,20548.82497891748,6849.608326305827,17124.020815764565,78770496,217554.6726874054,152459.3457142857,0,0
Show1,2,11,2021-11-14,6,Regular,21439.917399902977,7146.639133300993,17866.59783325248,82186350,240047.6970941068,163236.75285714286,0,0
Show1,2,12,2021-11-21,7,Regular,20261.019531115013,6753.673177038336,16884.182942595842,77667241,233590.48815939107,165653.79571428572,0,0
Show1,2,13,2021-11-28,8,Regular,18070.075298947188,6023.358432982394,15058.396082455987,69268622,231396.73719171333,162779.4785714286,0,0
Show1,2,14,2021-12-05,9,Regular,13460.74159853,4486.9138661766665,11217.284665441666,51599510,215368.40118606732,152907.27857142856,0,0
Show1,2,15,2021-12-12,10,Finale,12459.584088191295,4153.194696063765,10382.986740159413,47761739,191594.8221604569,128567.3,1,1
Show1,3,1,2022-09-04,0,PreLaunch,13283.052983233152,4427.684327744384,11069.21081936096,50918370,113144.7205951648,81564.18999999999,0,0
Show1,3,2,2022-09-11,0,PreLaunch,16463.31769068354,5487.77256356118,13719.431408902949,63109384,134458.03318871913,93932.93428571428,0,0
Show1,3,3,2022-09-18,0,PreLaunch,16321.415592265215,5440.471864088405,13601.179660221014,62565427,135328.97137753342,96229.97285714289,0,0
Show1,3,4,2022-09-25,0,PreLaunch,18927.65768786264,6309.219229287546,15773.048073218864,72556021,164286.85069531846,113292.36714285714,0,0
Show1,3,5,2022-10-02,0,PreLaunch,19057.85362712994,6352.617875709979,15881.544689274948,73055106,169887.35658605155,119962.17428571428,0,0
Show1,3,6,2022-10-09,1,Premiere,20751.798671809847,6917.266223936616,17293.16555984154,79548562,181786.9372135149,125335.88428571427,0,0
