Show,Season,Week_Number,Network_TV_Spend,Cable_TV_Spend,Digital_Spend,Model_2_Split
Show1,1,1,4028.297704320512,12084.893112961536,10070.74426080128,Training: Earlier Complete Seasons
Show1,1,2,4854.153125103361,14562.459375310083,12135.382812758404,Training: Earlier Complete Seasons
Show1,1,3,5370.453364440345,16111.360093321036,13426.133411100862,Training: Earlier Complete Seasons
Show1,1,4,7619.32169004146,22857.965070124377,19048.30422510365,Training: Earlier Complete Seasons
Show1,1,5,7133.216268044332,21399.648804133,17833.04067011083,Training: Earlier Complete Seasons
Show1,1,6,7026.084270106077,21078.25281031824,17565.210675265196,Training: Earlier Complete Seasons
Show1,1,7,9276.467067517018,27829.401202551056,23191.167668792543,Training: Earlier Complete Seasons
Show1,1,8,7524.991157167695,22574.973471503086,18812.47789291924,Training: Earlier Complete Seasons
Show1,1,9,8125.422045003786,24376.26613501136,20313.555112509464,Training: Earlier Complete Seasons
Show1,1,10,5907.181133476084,17721.54340042825,14767.95283369021,Training: Earlier Complete Seasons
Show1,1,11,5840.201232374527,17520.603697123577,14600.503080936314,Training: Earlier Complete Seasons
Show1,1,12,6242.976266858647,18728.92880057594,15607.440667146617,Training: Earlier Complete Seasons
Show1,1,13,5917.114237956656,17751.342713869966,14792.78559489164,Training: Earlier Complete Seasons
Show1,1,14,4981.8946683379445,14945.684005013833,12454.73667084486,Training: Earlier Complete Seasons
Show1,1,15,4236.150736119325,12708.452208357976,10590.376840298311,Training: Earlier Complete Seasons
Show1,2,1,12470.009534242345,4156.669844747447,10391.67461186862,Training: Earlier Complete Seasons
Show1,2,2,12782.21701444886,4260.739004816286,10651.847512040717,Training: Earlier Complete Seasons
Show1,2,3,15908.838499894786,5302.946166631596,13257.365416578989,Training: Earlier Complete Seasons
Show1,2,4,18397.33951314898,6132.446504382994,15331.116260957484,Training: Earlier Complete Seasons
Show1,2,5,23693.83334189768,7897.944447299224,19744.86111824806,Training: Earlier Complete Seasons
Show1,2,6,24381.38596826852,8127.128656089505,20317.821640223763,Training: Earlier Complete Seasons
Show1,2,7,21180.75388621012,7060.251295403371,17650.628238508427,Training: Earlier Complete Seasons
Show1,2,8,26547.644492729472,8849.214830909825,22123.03707727456,Training: Earlier Complete Seasons
Show1,2,9,22958.0688406386,7652.689613546197,19131.72403386549,Training: Earlier Complete Seasons
Show1,2,10,20548.82497891748,6849.608326305827,17124.020815764565,Training: Earlier Complete Seasons
Show1,2,11,21439.917399902977,7146.639133300993,17866.59783325248,Training: Earlier Complete Seasons
Show1,2,12,20261.019531115013,6753.673177038336,16884.182942595842,Training: Earlier Complete Seasons
Show1,2,13,18070.075298947188,6023.358432982394,15058.396082455987,Training: Earlier Complete Seasons
Show1,2,14,13460.74159853,4486.9138661766665,11217.284665441666,Training: Earlier Complete Seasons
Show1,2,15,12459.584088191295,4153.194696063765,10382.986740159413,Training: Earlier Complete Seasons
Show1,3,1,13283.052983233152,4427.684327744384,11069.21081936096,Training: Earlier Complete Seasons
Show1,3,2,16463.31769068354,5487.77256356118,13719.431408902949,Training: Earlier Complete Seasons
Show1,3,3,16321.415592265215,5440.471864088405,13601.179660221014,Training: Earlier Complete Seasons
Show1,3,4,18927.65768786264,6309.219229287546,15773.048073218864,Training: Earlier Complete Seasons
Show1,3,5,19057.85362712994,6352.617875709979,15881.544689274948,Training: Earlier Complete Seasons
Show1,3,6,20751.798671809847,6917.266223936616,17293.16555984154,Training: Earlier Complete Seasons
Show1,3,7,27803.637829013656,9267.879276337884,23169.698190844712,Training: Earlier Complete Seasons
Show1,3,8,29201.76007346783,9733.920024489276,24334.80006122319,Training: Earlier Complete Seasons
Show1,3,9,23705.608485206143,7901.869495068714,19754.673737671787,Training: Earlier Complete Seasons
Show1,3,10,24252.684754537524,8084.228251512507,20210.570628781268,Training: Earlier Complete Seasons
Show1,3,11,20934.734009790114,6978.24466993004,17445.611674825097,Training: Earlier Complete Seasons
Show1,3,12,17182.43310378651,5727.477701262169,14318.69425315542,Training: Earlier Complete Seasons
Show1,3,13,17128.02130706493,5709.34043568831,14273.351089220776,Training: Earlier Complete Seasons
Show1,3,14,16953.84964868469,5651.283216228229,14128.208040570576,Training: Earlier Complete Seasons
Show1,3,15,12811.080806858634,4270.360268952878,10675.900672382197,Training: Earlier Complete Seasons
Show1,4,1,14868.82755747515,12390.689631229294,4956.275852491717,Training: Earlier Complete Seasons
Show1,4,2,11070.382343865382,9225.31861988782,3690.127447955128,Training: Earlier Complete Seasons
Show1,4,3,18551.83286464324,15459.860720536037,6183.944288214414,Training: Earlier Complete Seasons
Show1,4,4,19453.590774459328,16211.325645382774,6484.53025815311,Training: Earlier Complete Seasons
Show1,4,5,20787.841391858856,17323.201159882377,6929.28046395295,Training: Earlier Complete Seasons
Show1,4,6,23787.72183040512,19823.1015253376,7929.240610135038,Training: Earlier Complete Seasons
Show1,4,7,20603.394219597707,17169.49518299809,6867.798073199235,Training: Earlier Complete Seasons
Show1,4,8,25149.415145560684,20957.845954633904,8383.138381853561,Training: Earlier Complete Seasons
Show1,4,9,24730.24838503825,20608.54032086521,8243.416128346083,Training: Earlier Complete Seasons
Show1,4,10,25298.21544555273,21081.84620462728,8432.73848185091,Training: Earlier Complete Seasons
Show1,4,11,19156.96425287569,15964.13687739641,6385.654750958564,Training: Earlier Complete Seasons
Show1,4,12,16882.358688563534,14068.632240469611,5627.452896187844,Training: Earlier Complete Seasons
